# DP - c, DP - c, EXP - c, EXP - c, DP c/a, DP c/a, EXP c/a,   EXP c/a
#       T,     c,       T,       c,      T,    c/a,       T,       c/a
0,2.9340653771760157,0,2.94701083172147,0,1.5859836065573771,0,1.5859836065573771
50.531914893617,2.9344943907156673,50.531914893617,2.9472943907156672,50.531914893617,1.5856147540983607,53.19148936170211,1.5857377049180328
101.06382978723406,2.9355052224371376,101.06382978723406,2.948450676982592,101.06382978723406,1.5854918032786887,101.06382978723406,1.584877049180328
148.936170212766,2.9369528046421665,151.59574468085106,2.949752417794971,151.59574468085106,1.5851229508196722,151.59574468085106,1.583770491803279
202.12765957446805,2.938399613152805,202.12765957446805,2.9510541586073504,202.1276595744681,1.5846311475409838,202.1276595744681,1.5832786885245902
252.6595744680851,2.9401377176015475,250,2.952356286266925,252.65957446808517,1.5843852459016394,252.65957446808517,1.5829098360655738
300.531914893617,2.9417307543520312,300.531914893617,2.953658027079304,300.53191489361706,1.584139344262295,300.53191489361706,1.5826639344262297
351.063829787234,2.943177949709865,351.063829787234,2.954959767891683,351.06382978723406,1.584139344262295,351.06382978723406,1.5824180327868853
401.5957446808511,2.944770599613153,401.5957446808511,2.956261508704062,401.59574468085117,1.584139344262295,401.59574468085117,1.5821721311475412
452.1276595744681,2.9460723404255322,452.1276595744681,2.9575632495164412,452.12765957446817,1.5842622950819674,452.12765957446817,1.5818032786885248
500,2.947229013539652,500,2.9588653771760156,502.65957446808517,1.5845081967213115,500.00000000000006,1.5815573770491804
550.531914893617,2.948530754352031,550.531914893617,2.9600216634429404,550.5319148936171,1.5847540983606558,550.5319148936171,1.581311475409836
601.0638297872341,2.9495415860735013,601.0638297872341,2.961468858800774,601.0638297872342,1.5851229508196722,601.0638297872342,1.5809426229508197
651.595744680851,2.950552417794971,651.595744680851,2.962770599613153,651.5957446808511,1.5853688524590166,651.5957446808511,1.5806967213114755
702.127659574468,2.951563249516441,699.4680851063829,2.964072727272727,702.1276595744682,1.585860655737705,702.1276595744682,1.5804508196721312
752.6595744680851,2.9525740812379113,750,2.9653744680851064,750.0000000000002,1.5861065573770492,752.6595744680853,1.580204918032787
800.5319148936169,2.953439845261122,800.5319148936169,2.9666762088974856,800.5319148936171,1.586598360655738,800.5319148936171,1.5798360655737707
851.063829787234,2.9545961315280467,851.063829787234,2.967977949709865,851.0638297872342,1.5869672131147543,851.0638297872342,1.5795901639344263
901.5957446808511,2.9556069632495166,901.5957446808511,2.969279690522244,901.5957446808513,1.5873360655737705,898.9361702127662,1.5793442622950822
949.4680851063829,2.9564727272727276,949.4680851063829,2.970727272727273,949.4680851063831,1.587704918032787,949.4680851063831,1.5789754098360658
1000,2.9574835589941975,1000,2.9717381044487428,1000.0000000000002,1.5880737704918033,1000.0000000000002,1.5788524590163935
